,location account #,business name,dba name,street address,city,location description,mailing address,mailing city,mailing zip code,naics,primary naics description,council district,location start date,location end date,location,zip_code
14,0003322093-0001-2,DPA SERVICES LLC,,4017 N Figueroa,los angeles,4017 FIGUEROA 90065,,,,722110,Full-service restaurants,1,06/23/2022,,"(34.0928, 34.0928)",90065
15,0002786945-0001-1,GEORGES DRIVE IN BOYLE HEIGHTS LLC,,2311 E CESAR E CHAVEZ AVENUE,los angeles,2311 CESAR E CHAVEZ 90033-1810,,,,722110,Full-service restaurants,14,11/18/2014,,"(34.0471, -118.2085)",90033
16,0002591422-0002-7,NATTALY LICON,SAN PEDRO TACOS,114 N GAFFEY STREET SUITE #B,san pedro,114 GAFFEY 90731-9602,,,,722110,Full-service restaurants,15,11/15/2015,,"(33.7434, -118.2923)",90731
17,0002537656-0009-5,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5658 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #5658,5850 CRENSHAW BLVD,los angeles,5850 CRENSHAW 90043-2434,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,8,01/03/2011,,"(33.9881, -118.3307)",90043
18,0002870160-0001-6,LILIAN ANAI TIBURCIO,SENORITA ABBY'S,3751 S WESTERN AVENUE,los angeles,3751 WESTERN 90018-4436,,,,722110,Full-service restaurants,8,11/30/2015,,"(34.0193, -118.3089)",90018
19,0002659975-0004-4,CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,CANTINA LAREDO,1 WORLD WAY #T81,los angeles,1 WORLD 90045-5803,7929 BROOKRIVER DRIVE SUITE #200,DALLAS,75247-4945,722110,Full-service restaurants,11,05/01/2015,,"(33.9453, -118.3995)",90045
20,0000202774-0001-5,GENOVEVA/GUILLERMO PADILLA,LA BARCA,2414 S VERMONT AVENUE,los angeles,2414 VERMONT 90007-1660,2414 S VERMONT AVENUE,LOS ANGELES,90007-1660,722110,Full-service restaurants,8,05/01/1976,,"(34.0341, -118.2915)",90007
21,0002816272-0002-1,SANGHEE HAN,KITCHEN SOODA,618 S SERRANO AVENUE,los angeles,618 SERRANO 90005-2847,618 S SERRANO AVENUE,LOS ANGELES,90005-2847,722110,Full-service restaurants,10,10/20/2015,,"(34.0629, -118.3065)",90005
22,0002713247-0001-7,SAM RUBY INC,RUBY THAI KITCHEN,9301 TAMPA AVENUE SUITE #107,northridge,9301 TAMPA 91324-5695,POST OFFICE BOX #929,ALIEF,77411-0929,722110,Full-service restaurants,12,06/09/2013,,"(34.2391, -118.5535)",91324
23,0002587679-0001-2,HACIENDA PLAYA LLC,HACIENDA PLAYA,8415 PERSHING DRIVE #304,playa del rey,8415 PERSHING 90293-7843,POST OFFICE BOX #882049,LOS ANGELES,90009-3020,722110,Full-service restaurants,11,12/01/2011,,"(33.9572, -118.443)",90293
24,0002630801-0002-8,SAMUEL FLORES DOMINIGUEZ / ALMA FLORES,MARISCOS GUAYABITOS # 3,12615   SAN FERNANDO ROAD,sylmar,12615 SAN FERNANDO 91342-5025,18073   ANNES CIRCLE   #104,CANYON COUNTRY,91387-6475,722110,Full-service restaurants,7,04/13/2016,,"(34.2982, -118.4588)",91342
25,0002975951-0001-4,KING & KING ENDEAVORS INC,BURGERIM,2849   12TH AVENUE,los angeles,2849 12TH 90018-2802,,,,722110,Full-service restaurants,10,01/03/2017,,"(34.0296, -118.3319)",90018
26,0003090203-0001-0,JGMG GROUP LLC,,19520   NORDHOFF STREET   SUITE #4,northridge,19520 NORDHOFF 91324-2452,19520   NORDHOFF STREET   SUITE #4,NORTHRIDGE,91324-2452,722110,Full-service restaurants,12,01/02/2019,,"(34.2349, -118.5589)",91324
27,0000023619-0001-7,C & K IMPORTING CO INC,C&K IMPORTING CO,2771 W PICO BLVD,los angeles,2771 PICO 90006-3913,2771 W PICO BLVD,LOS ANGELES,90006-3913,722110,Full-service restaurants,1,01/01/1949,,"(34.0472, -118.2997)",90006
28,0000025433-0001-5,PHU NGUYEN HA,ALPINE STORE,838 N BROADWAY UNIT #C,los angeles,838 BROADWAY 90012-4372,,,,722110,Full-service restaurants,1,04/21/1992,,"(34.0631, -118.2378)",90012
29,0002870342-0001-4,JECA MANAGEMENT GROUP INC,EL DELFIN FAMILY RESTAURANT,1800 S CENTRAL AVENUE,los angeles,1800 CENTRAL 90021-3033,,,,722110,Full-service restaurants,14,12/01/2015,,"(34.0251, -118.2498)",90021
30,0002537656-0013-3,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 10734 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #10734,1830 W 8TH STREET,los angeles,1830 8TH 90057-4918,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,1,01/03/2011,,"(34.0536, -118.2752)",90057
31,0000255559-0001-8,CEC ENTERTAINMENT INC,CHUCK E CHEESE'S,8425 RESEDA BLVD,northridge,8425 RESEDA 91324-4625,1707   MARKET PLACE   SUITE #200,IRVING,75063-8049,722110,Full-service restaurants,12,05/21/1985,,"(34.2231, -118.536)",91324
32,0002408528-0001-2,COMIDA MEXICANA RESTAURANT INC,,11406 HERRICK AVENUE #D,pacoima,11406 HERRICK 91331-1833,13248 CORNELIUS STREET,PACOIMA,91331-1825,722110,Full-service restaurants,7,02/04/2009,,"(34.2775, -118.4215)",91331
33,0003286359-0001-1,"NGE WEST, LLC",KARNEVIL,6627 W HOLLYWOOD,los angeles,6627 HOLLYWOOD 90028-6285,1055 W 7TH STREET FLOOR #33RD,LOS ANGELES,90017-2577,722110,Full-service restaurants,13,01/17/2022,,"(34.1019, 34.1019)",90028
34,0000645358-0003-9,PRODROMOS MIKE BEGAKIS,MONTEREY CONCESSIONS,4989 SEPULVEDA BLVD,sherman oaks,4989 SEPULVEDA 91403-1509,,,,722110,Full-service restaurants,4,09/01/2007,,"(34.161, -118.4661)",91403
35,0002763932-0006-1,SOCAL CONCESSIONS LLC,BARNEY'S BEANERY,1 WORLD WAY SPACE #240,los angeles,1 WORLD 90045-5803,1760 PEACHTREE STREET NW,ATLANTA,30309-2335,722110,Full-service restaurants,11,12/08/2015,,"(33.9453, -118.3995)",90045
36,0002998051-0011-2,"CONCORD COLLECTIVE PARTNERS, LLC",BEECHER'S HANDMADE CHEESE,380 WORLD WAY    #T45,los angeles,380 WORLD 90045-5800,1924 E MAPLE AVENUE UNIT #B,EL SEGUNDO,90245-3411,722110,Full-service restaurants,11,04/28/2022,,"(33.9435, -118.4085)",90045
37,0002537656-0003-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 1067 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #1067,19640 NORDHOFF STREET,northridge,19640 NORDHOFF 91324-2421,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,12,01/03/2011,,"(34.2354, -118.561)",91324
38,0002537656-0008-7,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5180 | CALIFORNIA FOOD MANAGEMENT,3101 N SAN FERNANDO ROAD,los angeles,3101 SAN FERNANDO 90065-1412,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.1149, -118.2459)",90065
39,0002537656-0016-8,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11406 | CALIFORNIA FOOD MANAGEMENT,6155 YORK BLVD,los angeles,6155 YORK 90042-3547,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,14,01/03/2011,,"(34.1162, -118.185)",90042
40,0002872299-0001-1,MIN 88 GROUP,CHEF MING'S KITCHEN,12239 SANTA MONICA BLVD,los angeles,12239 SANTA MONICA 90025-2517,,,,722110,Full-service restaurants,11,08/01/2015,,"(34.0398, -118.465)",90025
41,0002655724-0001-1,"NAAB CAFE, INC.",NAAB CAFE,1269 WESTWOOD BLVD,los angeles,1269 WESTWOOD 90024-4811,,,,722110,Full-service restaurants,5,02/01/2013,,"(34.0575, -118.4431)",90024
42,0003320597-0001-7,ORIGINAL TACO PETE RESTAURANTS INC,ORIGINAL TACO PETE,3272 W Slauson,los angeles,3272 SLAUSON 90043,,,,722110,Full-service restaurants,8,06/30/2022,,"(33.9888, 33.9888)",90043
43,0002812843-0001-6,LIMITLESS MONEY INVESTING LLC,FATBURGER NORTH HOLLYWOOD,11009 BURBANK BLVD SUITE #126,north hollywood,11009 BURBANK 91601-2458,,,,722110,Full-service restaurants,2,03/10/2015,,"(34.1721, -118.3707)",91601
44,0002845003-0001-7,VILLAGE MEXICAN RESTAURANT LLC,XOC TEQUILA GRILL/XOC TACOS,6316 TOPANGA CANYON BLVD SUITE #1110,woodland hills,6316 TOPANGA CANYON 91367-2214,,,,722110,Full-service restaurants,3,09/01/2015,,"(34.1853, -118.6058)",91367
45,0002639868-0001-9,E.A.S.T.,LITTLE CAESERS PIZZA STORE #2051-0001,619 S GAFFEY STREET,san pedro,619 GAFFEY 90731-3026,3870   PASEO DE LAS TORTUGAS,TORRANCE,90505-6320,722110,Full-service restaurants,15,05/14/2013,,"(33.7383, -118.2923)",90731
46,0002887671-0004-7,AREAS SKYVIEW LAX JV LLC,REILLY'S,100   WORLD WAY   SPACE #120,los angeles,100 WORLD 90045-5870,5301   BLUE LAGOON DRIVE   SUITE #690,MIAMI,33126-7034,722110,Full-service restaurants,11,12/01/2016,,"(33.9461, -118.401)",90045
47,0003325372-0001-7,UMBERTO OF BEL AIR INC,,662 N Sepulveda,los angeles,662 SEPULVEDA 90049,,,,722110,Full-service restaurants,5,07/26/2022,,"(34.0774, 34.0774)",90049
48,0000640816-0001-3,MAMMOITAL INC,CARUSO'S,13737 FOOTHILL BLVD,sylmar,13737 FOOTHILL 91342-3105,,,,722110,Full-service restaurants,7,04/08/2002,,"(34.3091, -118.4324)",91342
49,0000024332-0001-5,CLINTONS RESTAURANTS INC,CLIFTON'S REPUBLIC,648 S BROADWAY,los angeles,648 BROADWAY 90014-1807,648 S BROADWAY     FLOOR #5,LOS ANGELES,90014-1807,722110,Full-service restaurants,14,04/01/1985,,"(34.0458, -118.2527)",90014
50,0003270816-0001-4,FLAMES OF INDIA LLC,HOLLYWOOD VEGAN GATE OF INDIA HALAL AND VEGAN,7300 W Sunset #E,los angeles,7300 SUNSET 90046,440 S CATALINA STREET #402,LOS ANGELES,90020-2480,722110,Full-service restaurants,4,10/01/2021,,"(34.0976, 34.0976)",90046
51,0000489678-0003-4,SIZZLER USA RESTAURANTS INC,SIZZLER #1226,2920 LOS FELIZ BLVD,los angeles,2920 LOS FELIZ 90039-1503,25910 ACERO SUITE #350,MISSION VIEJO,92691-7908,722110,Full-service restaurants,13,05/01/1970,,"(34.1254, -118.2648)",90039
52,0003144290-0001-1,EBISU SUSHI & TERIYAKI INC,EBISU SUSHI & TERIYAKI,6234   WILSHIRE BLVD,los angeles,6234 WILSHIRE 90048,,,,722110,Full-service restaurants,5,08/22/2019,,"(34.0629, -118.3647)",90048
53,0003143673-0004-8,BARRANCA INVESTMENT,,1141 S GAFFEY STREET,san pedro,1141 Gaffey 90731-4035,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7335, -118.2926)",90731
54,0003144266-0001-8,TOUCH OF AEGEAN INC,NUKA CAFE,1510   WESTWOOD BLVD,los angeles,1510 WESTWOOD 90024-5602,,,,722110,Full-service restaurants,5,07/24/2019,,"(34.0538, -118.4401)",90024
55,0002569380-0001-2,JSP VENTURE INC,STAR #2 BBQ,601 S ARDMORE AVENUE,los angeles,601 ARDMORE 90005-2314,3075 WILSHIRE BLVD #212,LOS ANGELES,90010-1286,722110,Full-service restaurants,10,07/07/2011,,"(34.0635, -118.3015)",90005
56,0003321228-0001-9,AMINUL ISLAM,HUMBLE CHEF,18845 SHERMAN WAY,reseda,18845 Sherman 91335-4042,8200 SEPULVEDA BLVD,PANORAMA CITY,91402-4307,722110,Full-service restaurants,3,07/01/2022,,"(34.2016, -118.5444)",91335
57,0002080996-0008-0,CBC RESTAURANT CORP,,10759 W PICO BLVD,los angeles,10759 Pico 90064-2219,14103 DENVER WEST PARKWAYS,LAKEWOOD,80401-3114,722110,Full-service restaurants,5,04/11/2022,,"(34.0412, -118.4266)",90064
58,0003319209-0001-8,Y&J 7205 INC,,7205 Van Nuys,van nuys,7205 VAN NUYS 91405,,,,722110,Full-service restaurants,6,07/01/2022,,"(34.2014, 34.2014)",91405
59,0003320318-0001-6,JINYA CALIFORNIA INC,JINYA RAMEN BAR TOPANGA,6600 TOPANGA CANYON BLVD UNIT #1280,canoga park,6600 Topanga Canyon 91303-2609,3334 BURTON AVENUE,BURBANK,91504-3105,722110,Full-service restaurants,3,06/21/2022,,"(34.1914, -118.6039)",91303
60,0002281752-0001-1,ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,LOS COMPADRES,640 N BROADWAY     SUITE #6,los angeles,640 BROADWAY 90012-2815,,,,722110,Full-service restaurants,1,10/11/2007,,"(34.0597, -118.2395)",90012
61,0000807342-0001-1,SLADJANA AND DUSAN SIMIC,IL SOGNO DELI,444 S SAN VICENTE BLVD #105,los angeles,444 SAN VICENTE 90048-4166,,,,722110,Full-service restaurants,5,04/01/2003,,"(34.0695, -118.3752)",90048
62,0003319913-0001-1,PJBG 3 INC,PAPA JUAN'S BAJA GRILL,11404 MAGNOLIA BLVD,north hollywood,11404 MAGNOLIA 91601,,,,722110,Full-service restaurants,0,07/05/2022,,"(0.0, 0.0)",91601
63,0003319917-0001-0,HIZG LLC,,7400 Van Nuys #105,van nuys,7400 VAN NUYS 91405,,,,722110,Full-service restaurants,2,06/15/2022,,"(34.2055, 34.2055)",91405
64,0003319270-0001-2,FARMHOUSE LAX INC,FARMHOUSE KITCHEN LA,5560 W Adams,los angeles,5560 ADAMS 90016,,,,722110,Full-service restaurants,10,07/01/2022,,"(34.0322, 34.0322)",90016
65,0003319387-0001-6,SMOKING PIG INC,LITTLE BEAST,1496 Colorado,los angeles,1496 COLORADO 90041,,,,722110,Full-service restaurants,14,06/27/2022,,"(34.1389, 34.1389)",90041
66,0002572385-0004-5,BLAZIN WINGS INC,,9301 TAMPA AVENUE UNIT #200,northridge,9301 TAMPA 91324-5604,3 GLENLAKE PARKWAYS,ATLANTA,30328-3584,722110,Full-service restaurants,12,07/14/2014,,"(34.2391, -118.5535)",91324
67,0002832322-0001-6,GULP PLAYA VISTA INC,,13020 PACIFIC PROMENADE SUITE #1,playa vista,13020 PACIFIC PROMENADE 90094-2391,10 POINTE DRIVE SUITE #300,BREA,92821-7620,722110,Full-service restaurants,11,01/01/2015,,"(33.9728, -118.4232)",90094
68,0003143673-0003-0,BARRANCA INVESTMENT,,3822 E OLYMPIC BLVD,los angeles,3822 Olympic 90023-3113,,,,722110,Full-service restaurants,14,08/01/2019,,"(34.0186, -118.1925)",90023
69,0003318793-0001-7,DIPLOMAT RESTAURANT,,1781 WESTWOOD BLVD,los angeles,1781 WESTWOOD 90024-5607,,,,722110,Full-service restaurants,0,06/16/2022,,,90024
70,0003349245-0001-3,TELEFERIC BARCELONA LA LLC,,11930 San Vicente,los angeles,11930 SAN VICENTE 90049,,,,722110,Full-service restaurants,11,01/21/2023,,"(34.0521, 34.0521)",90049
71,0003105006-0002-0,SAMOAK INDUSTRIES LLC,BELLY'S SLIDERS AND WINGS,15315 S FIGUEROA STREET SUITE #C & D,gardena,15315 FIGUEROA 90248-2142,335 E ALBERTONI STREET UNIT #207-707,CARSON,90746-1425,722110,Full-service restaurants,15,07/01/2022,,,90248
72,0002627336-0003-3,SQIRL LLC,,902 N VERMONT AVENUE,los angeles,902 Vermont 90029-3519,720 N VIRGIL AVENUE #4,LOS ANGELES,90029-3634,722110,Full-service restaurants,13,06/06/2022,,"(34.0879, -118.2916)",90029
73,0003142936-0001-0,"JL INVESTMENT GROUP - HIGHLAND PARK, INC.",BAJA CALI FISH & TACOS - HIGHLAND PARK,5831 N FIGUEROA STREET,los angeles,5831 FIGUEROA 90042,2001 W VALLEY BLVD,ALHAMBRA,91803-1923,722110,Full-service restaurants,1,08/05/2019,,"(34.1105, -118.1913)",90042
74,0002480168-0001-7,GCI-MP INC,DAILY GRILL,612 S FLOWER STREET SUITE #220,los angeles,612 FLOWER 90017-2800,5765 S RAINBOW BLVD   SUITE #101,LAS VEGAS,89118-2537,722110,Full-service restaurants,14,12/28/2009,,"(34.0499, -118.2576)",90017
75,0002301814-0001-9,UROOS TRADING INC,,19711 RINALDI STREET,porter ranch,19711 RINALDI 91326-4143,19711 RINALDI STREET,PORTER RANCH,91326-4143,722110,Full-service restaurants,12,01/01/2008,,"(34.2749, -118.5625)",91326
76,0002580451-0001-1,LAZY DAISY CAFE INC,,11906 WILSHIRE BLVD,los angeles,11906 WILSHIRE 90025-6632,,,,722110,Full-service restaurants,11,10/05/2011,,"(34.0462, -118.4644)",90025
77,0003318972-0001-1,DULCE REINA BANQUET INC,,1617 BEVERLY BLVD APT #2,los angeles,1617 BEVERLY 90026-5710,1617 Beverly #2,Los Angeles,90026-5710,722110,Full-service restaurants,13,06/01/2022,,,90026
78,0000256067-0002-7,RAFFAELLO RISTORANTE INC,,457 W 7TH STREET,san pedro,457 7th 90731-3207,,,,722110,Full-service restaurants,15,07/23/2021,,"(33.7376, -118.287)",90731
79,0003144724-0001-5,MIRAK SYK CORP,MIRAK,1134 S WESTERN AVENUE   #A2,los angeles,1134 WESTERN 90006-2356,431 S BURNSIDE AVENUE   #6C,LOS ANGELES,90036-5381,722110,Full-service restaurants,10,08/22/2019,,"(34.0497, -118.3087)",90006
80,0003144227-0001-8,HAY CAFE INC,,313 N FIGUEROA STREET   FLOOR #10,los angeles,313 FIGUEROA 90012-2602,451 S HARVARD BLVD   #325,LOS ANGELES,90020-3473,722110,Full-service restaurants,14,09/04/2019,,"(34.0598, -118.2494)",90012
81,0003143433-0001-2,"DAMDA FOODS, LLC",KARMA INDIAN CUISINE,23460   CINEMA DRIVE   SUITE #J,valencia,23460 CINEMA 91355,23460   CINEMA DRIVE   SUITE #J,VALENCIA,91355-1764,722110,Full-service restaurants,0,08/01/2019,,"(34.4193, -118.5463)",91355
82,0000048133-0001-5,BACARO LLC,THE 3RD STOP,8636 W 3RD STREET,los angeles,8636 3RD 90048-3323,,,,722110,Full-service restaurants,5,11/10/2003,,,90048
83,0000489678-0005-1,SIZZLER USA RESTAURANTS INC,SIZZLER #852,7131 VAN NUYS BLVD,van nuys,7131 VAN NUYS 91405-3006,25910 ACERO SUITE #350,MISSION VIEJO,92691-7908,722110,Full-service restaurants,6,01/25/1988,,"(34.2, -118.4487)",91405
84,0003321874-0001-8,KEN'S BBQ INC,GANGNAM STATION,3785 Wilshire #217,los angeles,3785 WILSHIRE 90010,,,,722110,Full-service restaurants,10,07/01/2022,,"(34.0628, 34.0628)",90010
85,0002572385-0003-7,BLAZIN WINGS INC,BUFFALO WILD WINGS,6081 CENTER DRIVE UNIT #105,los angeles,6081 CENTER 90045-8830,3 GLENLAKE PARKWAYS,ATLANTA,30328-3584,722110,Full-service restaurants,11,11/18/2013,,"(33.9781, -118.393)",90045
86,0003321781-0001-0,TGH FOODS INC,BOLLYWOOD GRILL INDIAN RESTAURANT,6756 Hollywood,los angeles,6756 HOLLYWOOD 90028,,,,722110,Full-service restaurants,13,07/01/2022,,"(34.1012, 34.1012)",90028
87,0003321576-0001-2,HIRAYDAASCENCIO,GUANACHAPI  RESTAURANT,8018 Pearblossom #8018,littlerock,8018 PEARBLOSSOM 93543,,,,722110,Full-service restaurants,0,06/10/2022,,"(34.5209, 34.5209)",93543
88,0003143673-0002-1,BARRANCA INVESTMENT,,1108 E PACIFIC COAST HIGHWAY,wilmington,1108 Pacific Coast 90744-2729,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7906, -118.249)",90744
89,0002633952-0001-2,SWEET TEN THOUSAND INC,SO SUSHI,19596 VENTURA BLVD,tarzana,19596 VENTURA 91356-2917,21800 OXNARD STREET SUITE #460,WOODLAND HILLS,91367-7533,722110,Full-service restaurants,3,09/08/2012,,"(34.1727, -118.5599)",91356
90,0000051605-0002-8,LUIS E MERCADO-ALVARADO IV,,1415 N AVALON BLVD,wilmington,1415 AVALON 90744-1506,POST OFFICE BOX #244,WILMINGTON,90748-0244,722110,Full-service restaurants,15,01/01/2007,,"(33.7916, -118.2633)",90744
91,0003144124-0001-6,YUDAI SAKUMA,MR.RAMEN,341  1/2 E 1ST STREET,los angeles,341 1ST 90012-3901,,,,722110,Full-service restaurants,14,08/20/2019,,"(34.0498, -118.2396)",90012
92,0000054319-0006-0,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #35,9858 BALBOA BLVD,northridge,9858 BALBOA 91325-1904,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,12,12/18/1984,,,91325
93,0003006092-0001-8,PARK ENTERPRISE LLC,CHICK-FIL-A AT USC,3758 S FIGUEROA STREET,los angeles,3758 FIGUEROA 90007-4315,2155 ANDOVER LANE,NEWPORT BEACH,92660-4609,722110,Full-service restaurants,9,09/08/2017,,"(34.0164, -118.2826)",90007
94,0002853154-0001-0,AMERICANA BUFFET AND GRILL,,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,los angeles,3650 MARTIN LUTHER KING JR 90008-1784,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,LOS ANGELES,90008-1784,722110,Full-service restaurants,8,09/15/2015,,"(34.0114, -118.3363)",90008
95,0002850458-0001-1,FERNANNDO RESTREPO,EATNAKED.LA,11310 VANOWEN STREET,north hollywood,11310 VANOWEN 91605-6320,,,,722110,Full-service restaurants,2,08/25/2015,,"(34.1939, -118.3772)",91605
96,0003348435-0001-9,PINK & BOUJEE LA,,1908 E 1st APT,los angeles,1908 1ST 90033,1908 E 1st APT,Los Angeles,90033-3413,722110,Full-service restaurants,14,01/10/2023,,"(34.0461, 34.0461)",90033
97,0003321786-0001-2,RICARDO ELEAZAR MENDOZA,SABOR SANPEDRANO,621 E 80th,los angeles,621 80TH 90001,,,,722110,Full-service restaurants,9,06/29/2022,,"(33.9668, 33.9668)",90001
98,0002281752-0002-0,ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,TAQUERIA AL PASTOR,5179 SANTA MONICA BLVD,los angeles,5179 SANTA MONICA 90029-2427,,,,722110,Full-service restaurants,13,10/24/2008,,"(34.0908, -118.303)",90029
99,0003143660-0001-6,KRISTOPHER A RAHENDRA,CEYLON FOODS,160 S VIRGIL AVENUE   BUILDING #1206,los angeles,160 VIRGIL 90004-6056,,,,722110,Full-service restaurants,13,08/01/2019,,"(34.0719, -118.2862)",90004
100,0002261496-0001-7,C F B FOODS INC,BARBRIX,2442 HYPERION AVENUE,los angeles,2442 HYPERION 90027-4714,4420 LOS FELIZ BLVD #211,LOS ANGELES,90027-2163,722110,Full-service restaurants,4,07/19/2007,,"(34.1041, -118.2733)",90027
101,0003018407-0001-1,"DAVE'S HOT CHICKEN, LLC",DAVE'S HOT CHICKEN 1001,970 N WESTERN AVENUE,los angeles,970 WESTERN 90029-3216,970 N WESTERN AVENUE,LOS ANGELES,90029-3216,722110,Full-service restaurants,13,12/01/2017,,"(34.0881, -118.309)",90029
102,0003143673-0001-3,BARRANCA INVESTMENT,,843   PACIFIC COAST HIGHWAY,harbor city,843 Pacific Coast 90710-3105,,,,722110,Full-service restaurants,15,08/01/2019,,"(33.7914, -118.2904)",90710
103,0002301814-0004-3,UROOS TRADING INC,GOURMET PALACE CHINA BISTRO,12910 MAGNOLIA BLVD SUITE #E,sherman oaks,12910 Magnolia 91423-1662,,,,722110,Full-service restaurants,4,04/01/2022,,"(34.1646, -118.4142)",91423
